"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic"
"13","Arctic Tourism Development with Regard to Legal Regulations and Environmental Protection","Gawor, L.; Dolnicki, P.","Arctic tourism develops very quickly and requires both changing of legal regulations and consid-ering environmental issues. The developing branch of services (significantly tourism) has became an important sector in the shaping of the budget of numerous countries worldwide. World-wide climate changes provide new possibilities of visiting remote countries with severe climate conditions. Global warming is particularly intense in the Arctic, where mean temperatures have recently risen twice as fast as in the rest of the world. A comprehensive set of regulations was recently developed to protect the wilderness of Arctic environment from the negative impact of tourism. The purpose of the paper is to present legal and organizational regulations connected with organization of tourist trips in the Arctic, based on the example of Svalbard area, American Arctic and Russian Arctic. There are described particularly legal regulations that concern cruise operators. These issues have been described based on literature studies, analysis of legal regulations and statistical data. The time range of the study is about 20 years. Also discussed are challenges of tourism as seen in the Northwest Passage, a historical challenge for many sailors and Russian Arctic tourism development. The issues of economic benefits, environmental protection and connections between tourism and climate conditions are presented. There is also a focus on weather enabling tourism in the Arctic. It can be said that new possibilities of visiting remote places with severe climate conditions (e g. Arctic region) are opening due to global changes. It occurs mainly due to the reduced sea ice cover for longer periods of time, which facilitates tourist access and extends visitor seasons. It has been assumed that global climate change may lead to a shift of tourism demand to higher latitudes, creating additional opportunities for tourism in northern regions.",2018,"","PRACE KOMISJI GEOGRAFII PRZEMYSLU POLSKIEGO TOWARZYSTWA GEOGRAFICZNEGO-STUDIES OF THE INDUSTRIAL GEOGRAPHY COMMISSION OF THE POLISH GEOGRAPHICAL SOCIETY","32","2","289-298","WOS:000437710200021","10.24917/20801653.322.20","","#4146","Gawor 2018","Tyler McIntosh (2024-08-22 03:35:40)(Select): Unclear whether this is exactly a review, but it's certainly not original research. Checks the other boxes for sure.; ","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"14","Climate-related migration and the climate-security-migration nexus in the Central American Dry Corridor","Huber, J.; Madurga-Lopez, I.; Murray, U.; McKeown, P. C.; Pacillo, G.; Laderach, P.; Spillane, C.","The Central American Dry Corridor (CADC) is among the most climate-vulnerable regions worldwide. Climate change, commonly referred to as a """"threat multiplier"""" of pre-existing socioeconomic issues, already undermines rural livelihoods by reducing agricultural yields and income opportunities. This paper provides a review of climate-related migration in the CADC region while identifying the specific pathways by which climate change manifests itself as a threat multiplier to migration. Different forms of human mobility (seasonal/temporal/permanent and internal/international migration) are increasingly attempted as adaptation strategies by affected households to diversify incomes and offset climate impacts. Preferred intra-regional migrant destinations tend to be less climate-vulnerable and also less violent. Notably, climate change is not isolated from socioeconomic and political migration drivers. Erosion of rural livelihoods reduces the costs of engaging in illicit coping strategies (e.g., illegal crop production) and simultaneously favours rapid urbanisation, which is linked to (forced) gang recruitment, primarily affecting the youth. These processes contribute to extraordinarily high violence levels, which are a major push factor for migration on their own, ultimately challenging state authority. Moreover, as outmigration from the region is projected to increase, the observed securitisation of borders, particularly along the USA-Mexico border and the Mexico-Guatemala border, while unfit to limit migration attempts, make migration more desperate and dangerous, allowing organised crime to step in and exploit migration as an economic undertaking. Thus, for the CADC, the depoliticised and simplistic narrative of migration serving as adaptation must be questioned. Policy coherence and state capacity for addressing climate-security-migration nexus challenges are critical needs.",2023,"JUN","Climatic Change","176","6","","WOS:001009968100001","10.1007/s10584-023-03549-6","","#5366","Huber 2023","Tyler McIntosh (2024-08-16 13:21:23)(Select): A climate-driven human movement review in N.America that includes relationship to biodiversity! Huzzah. Example of bioD relationship commentary: """"Regarding rural-rural migration, outmigration from CADC regions toward rural non-CADC regions (see Fig. 1) can contribute to deforestation and soil erosion, as deleterious land-use practices from the CADC are replicated.""""; ","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"15","Scales and sensitivities in climate vulnerability, displacement, and health","Hunter, L. M.; Koning, S.; Fussell, E.; King, B.; Rishworth, A.; Merdjanoff, A.; Muttarak, R.; Riosmena, F.; Simon, D. H.; Skop, E.; Van den Hoek, J.","Climate change and attendant weather events are global phenomena with wide-ranging implications for migration and health. We argue that while these issues are inherently interrelated, little empirical or policy attention has been given to the three-way nexus between climate vulnerability, migration, and health. In this Review, we develop a conceptual model to guide research on this three-way nexus. In so doing, we apply our conceptual model to a range of case studies, including Bangladesh, Mexico, Myanmar, and the USA. They illustrate that climate vulnerability-migration-health interlinkages are context specific, varying by political, economic, demographic, social, and environmental factors unique to each population and place. Even so, the case studies also demonstrate that overarching themes amenable to policy can be identified. Global organizations and researchers from a multiplicity of disciplinary backgrounds have strong imperatives and unique but often overlooked capacity to innovate and experiment in addressing climate vulnerability-migration-health interlinkages. We call for research and policy focus on these issues and suggest targeted efforts to begin mitigating migration and health issues associated with global climate change.",2021,"SEP","Population and Environment","43","1","61-81","WOS:000642046400001","10.1007/s11111-021-00377-7","","#5424","Hunter 2021","","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"16","Time to Mainstream the Environment into Migration Theory?","Hunter, L. M.; Simon, D. H.","As with all social processes, human migration is a dynamic process that requires regular theoretical reflection. This article offers such reflection as related to the role of the natural environment in contemporary migration research and theory. A growing body of evidence suggests that environmental contexts, as shifting social and ecological realities, are consequential to migration theory. In this article, we review some of this evidence, providing migration research examples that integrate environmental context and are applicable to core migration theories, including neoclassical economic and migration systems perspectives, the """"push-pull"""" framework, and the new economics of labor migration. We suggest that neglecting consideration of the natural environment may yield misspecified migration models that attribute migration too heavily to social and economic factors, particularly in the context of contemporary climate change. On the other hand, we suggest, failure to consider migration theory in climate scenarios may lead to simplistic projections and understandings, as in the case of """"climate refugees."""" We conclude that migration researchers have an obligation to accurately reflect the complexity of migration's drivers, including the environment, within migration scholarship, especially in the context of global climate change.",2023,"MAR","INTERNATIONAL MIGRATION REVIEW","57","1","5-35","WOS:000762809900001","10.1177/01979183221074343","","#5426","Hunter 2023","","Biophysical; Biotic; Human movement; Intervention; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"17","Migration matters: How migration is critical to contemporary human-environment geography","Jokisch, B. D.; Radel, C.; Carte, L.; Schmook, B.","Human migration plays a critical role in numerous contemporary environmental concerns including global climate change and environmental justice. This review characterizes the ways migration is critical to contemporary human-environment geography. We delineate four themes from the literature based on (a) how migration affects the environment; (b) how the environment and/or environmental events affect migration; (c) how migration produces uneven environmental benefits and burdens; and (d) how environmental displacement/dispossession produces migration and vice versa. We articulate five recommendations for a research agenda that integrates migration processes, recognizes migration as a heterogeneous process, and approaches human-environment interactions holistically and non-deterministically.",2019,"AUG","Geography Compass","13","8","","WOS:000479684300001","10.1111/gec3.12460","","#5803","Jokisch 2019","Tyler McIntosh (2024-08-20 01:32:04)(Select): This paper has a nice section on """"DISPLACEMENT AND ENVIRONMENTAL DISPOSSESSION"""" that states more or less exactly what we are finding in this review stage: """"Most research does not engage directly with subsequent out-migration to
trace where the displaced move, how, and with what impacts. A few studies do focus on dialectical questions of
environmental claims and out-migration, with a clear focus on migration processes"""". This section does have other mentions of impacts on land use, land grabbing, etc.; ","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"18","Loss and Damage in the Rapidly Changing Arctic","Landauer, M.; Juhola, S.; Mechler, R.; Bouwer, L. M.; Schinko, T.; Surminski, S.; LinneroothBayer, J.","Arctic climate change is happening much faster than the global average. Arctic change also has global consequences, in addition to local ones. Scientific evidence shows that meltwater of Arctic sources contributes to sea-level rise significantly while accounting for 35% of current global sea-level rise. Arctic communities have to find ways to deal with rapidly changing environmental conditions that are leading to social impacts such as outmigration, similarly to the global South. International debates on Loss and Damage have not addressed the Arctic so far. We review literature to show what impacts of climate change are already visible in the Arctic, and present local cases in order to provide empirical evidence of losses and damages in the Arctic region. This evidence is particularly well presented in the context of outmigration and relocation of which we highlight examples. The review reveals a need for new governance mechanisms and institutional frameworks to tackle Loss and Damage. Finally, we discuss what implications Arctic losses and damages have for the international debate.",2019,"","LOSS AND DAMAGE FROM CLIMATE CHANGE: CONCEPTS, METHODS AND POLICY OPTIONS","","","425-447","WOS:000571983800021","10.1007/978-3-319-72026-5_1810.1007/978-3-319-72026-5","","#6697","Landauer 2019","Elliott Parsons (2024-08-17 09:58:06)(Select): 1=review (yes), 2 - flow is humans, and climate change impacts on climate-induced relocation and migration; 3) yes - shifts in ecosystem type are mentioned; 4) Global so yes, 5 = flows across borders (relocation as part of loss and damage) = yes; ","Biophysical; Human movement; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"19","CLIMATE-CHANGE AND INVOLUNTARY MIGRATION - IMPLICATIONS FOR FOOD SECURITY","McGregor, J.","This paper explores the nature of the relationships between environmental change and migration, and between migration and food security. It reviews the findings of studies on refugee livelihoods and on the economic and ecological transformations in refugee receiving areas, paying particular attention to situations where the reception of displaced populations has been of long-term benefit to hosting economies. The nature of interventions for displaced populations itself influences food security in hosting areas, and recent debates over refugee assistance have indicated some ways in which existing practice can be counterproductive. The recognition that environmental change can be associated with forced migration has made an important contribution to debates over who should be the legitimate beneficiaries of international relief, but the term 'environmental refugee' is misleading conceptually and is legally and institutionally unfounded. As the group of potential recipients of assistance expands, some of the mainstays of refugee protection are being undermined.",1994,"APR","Food Policy","19","2","120-132","WOS:A1994NK17400003","10.1016/0306-9192(94)90065-5","","#8009","McGregor 1994","Tyler McIntosh (2024-08-20 05:33:38)(Select): A review of global climate-change driven migration. While not an explicit focus of the paper, there are multiple mentions of impacts of migration on the environment.; ","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20","Fouling and ships' hulls: how changing circumstances and spawning events may result in the spread of exotic species","Minchin, D.; Gollasch, S.","Organisms fouling ships' hulls are continually in transit worldwide. Although effective antifouling paints incorporating organotins have considerably reduced fouling biomass these paints have a limited period of effectiveness, which may be less than the ships' inter-docking period, depending on sea temperature and abrasion. Vessels immersed over several years can allow fouling communities to develop and spread beyond their native distribution. This process of establishment is not fully understood. This review proposes that short rapid turnaround of vessels with mature attached biota can result in synchronized spawnings and production of sufficient zygotes to form a founder population. Spawning may be induced by changes in temperature or salinity on entry into a port, according to season. The diversity of taxa. in transit on ships' hulls includes commercial molluscs, which have the potential to transmit their diseases or pests to port regions. Several factors may act in the further enhancement of exotic species establishment including changes of in-port berthing regions to more marine conditions. Ships today are generally larger, and faster, and have a high frequency of port visits thereby increasing the number of spawning opportunities, perhaps with a larger inoculum size. With trade expansion, new trading routes, political events and changes in climate, new pathways for invasion will emerge. Greater controls on industrial discharges, improved treatments of urban wastes and better management of waste runoff into rivers as well as a phasing out of organotin antifoulants will mean a reduced toxicity in port regions. This may enable a smaller inoculum to colonize by creating opportunities for establishment not present in the previous 25 years. Some invaders will have unwanted consequences for the environment, economies and human health.",2003,"APR","BIOFOULING","19","","111-122","WOS:000181980400015","10.1080/0892701021000057891","","#8272","Minchin 2003","Laura  Dee (2024-08-15 07:46:59)(Select): this does have a link to climate change which is new trading routes (eg sea ice melt in the arctic) so I overrule... ; Grace Westphal (2024-08-09 04:30:37)(Select): While a definite transboundary, there is no clear connection to climate change made in this review. ; ","Biotic; Human movement; save for other sections",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"21","Exploring migration decision-making and agricultural adaptation in the context of climate change: A systematic review","Mukherjee, M.; Fransen, S.","This study presents a novel analysis of migration responses to climate change by agricultural households in middle- and low-income countries. We conduct a systematic review of 81 quantitative and qualitative studies, applying the New Economics of Labor Migration (NELM) theory and insights from the development economics literature to understand the link between access to in situ agricultural adaptation measures and migration choices. Our findings indicate significant variability in this relationship across different scales of farming operations, including large, medium, small, and landless farmers. We also identify several local contextual factors-such as access to credit, social structures, social fractionalization, conflicts, and migrant networks- that intricately influence this association. Our review departs from previous literature by providing a unique theoretical perspective on the diverse evidence surrounding migration and climate change. We propose a conceptual framework to better understand migration responses in less-developed countries and pinpoint policy gaps that limit agricultural households' ability to adapt to climate change. Finally, we highlight the critical need for future research to examine the role of local contextual factors, including social networks, gender norms, and conflict risks, in shaping migration responses to climate change.",2024,"JUL","WORLD DEVELOPMENT","179","","","WOS:001218801900001","10.1016/j.worlddev.2024.106600","","#8585","Mukherjee 2024","Colleen Miller (2024-08-23 01:19:55)(Select): Connecting climate to ag to movement of people across borders (US-Mexico; regional);","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"22","Empirical research on international environmental migration: a systematic review","Obokata, R.; Veronis, L.; McLeman, R.","This paper presents the findings of a systematic review of scholarly publications that report empirical findings from studies of environmentally-related international migration. There exists a small, but growing accumulation of empirical studies that consider environmentally-linked migration that spans international borders. These studies provide useful evidence for scholars and policymakers in understanding how environmental factors interact with political, economic and social factors to influence migration behavior and outcomes that are specific to international movements of people, in highlighting promising future research directions, and in raising important considerations for international policymaking. Our review identifies countries of migrant origin and destination that have so far been the subject of empirical research, the environmental factors believed to have influenced these migrations, the interactions of environmental and non-environmental factors as well as the role of context in influencing migration behavior, and the types of methods used by researchers. In reporting our findings, we identify the strengths and challenges associated with the main empirical approaches, highlight significant gaps and future opportunities for empirical work, and contribute to advancing understanding of environmental influences on international migration more generally. Specifically, we propose an exploratory framework to take into account the role of context in shaping environmental migration across borders, including the dynamic and complex interactions between environmental and non-environmental factors at a range of scales.",2014,"SEP","Population and Environment","36","1","111-135","WOS:000340566100006","10.1007/s11111-014-0210-7","","#9010","Obokata 2014","","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"23","Linking climate change, environmental degradation, and migration: An update after 10 years","Piguet, E.","In WIREs Climate Change, Issue 1(4), 2010, I suggested a typology of the data and methods used to assess links between climate change, environmental degradation and migration (Piguet, 2010). My review of the literature included publications up to 2009. Since then, the number of empirically based scientific publications on this topic has risen substantially to average 40 articles per year and the scope of methods, stock of results and diversity of questions has widened. Based on the CLIMIG database-a systematic and analytic collection of scientific references published on migration and the environment-this new synthesis provides a methodological typology of an exceptionally large number of published case studies. This will complement existing reviews and meta-studies and allow a global overview of the state of research by identifying consensus and disagreements, revisiting methodological challenges and mapping current and future research questions. This article is categorized under: Vulnerability and Adaptation to Climate Change > Values-Based Approach to Vulnerability and Adaptation",2022,"JAN","WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE","13","1","","WOS:000713468900001","10.1002/wcc.746","","#9614","Piguet 2022","Tyler McIntosh (2024-08-22 05:02:29)(Select): insufficient discussion of subsequent environmental impacts;","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"24","MIGRATION AND CLIMATE CHANGE: AN OVERVIEW","Piguet, E.; PÃ©coud, A.; de Guchteneire, P.","Climate change has become a major concern for the international community. Among its consequences, its impact on migration is the object of increasing attention from both policy-makers and researchers. Yet, knowledge in this field remains limited and fragmented. This article therefore provides an overview of the climate change migration nexus: on the basis of available empirical findings, it investigates the key issues at stake, including the social and political context in which the topic emerged; States' policy responses and the views of different institutional actors; critical perspectives on the actual relationship between the environment and (forced) migration; the concepts and notions most adequate to address this relationship; gender and human rights implications; as well as international law and policy orientations. Two major interconnected arguments arise. The first regards the weight of environmental and climatic factors in migration and their relationship to other push or pull factors, whether of a social, political, or economic nature. The second is about the political framework in which such migration flows should take place and the manner in which to treat the people who move in connection with environmental factors. The two issues are deeply intertwined, as the extent to which the environment determines migration is intimately connected to the status to be associated with the people concerned.",2011,"SEP","REFUGEE SURVEY QUARTERLY","30","3","1-23","WOS:000211958400001","10.1093/rsq/hdr006","","#9615","Piguet 2011","","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","Environmental impacts of Arctic shipping activities: A review","Qi, X. L.; Li, Z. F.; Zhao, C. P.; Zhang, Q. Q.; Zhou, Y. T.","Global warming has led to rapid warming in the Arctic region and continuous melting of ice and snow, and the seaworthiness of the Arctic shipping routes is increasing significantly. This has also aroused widespread concern from the international community regarding the environmental impact of Arctic shipping activities. Thus, this paper reviews 75 articles to evaluate the different impacts of Arctic shipping on the region's environment. The research results show that the impact of current Arctic shipping activities is extensive, and it can identify three major impacts: impact on water bodies, impact of air emissions and impact on animal survival. In this context, to mitigate the growing negative impact of shipping activities on the fragile Arctic environment, it is essential to adopt technical and operational solutions for ships and formulate new or stricter standards and rules for Arctic shipping activities. At the same time, existing research has gaps in four areas: Arctic environmental and ecological baseline surveys, quantitative research on the direct and synergistic environmental impacts from Arctic shipping, implications of Arctic shipping activities on aboriginal health, and the Arctic shipping gas emission model based on artificial intelligence technology. We recommend enriching relevant research to enhance the ability to assess the impacts of Arctic shipping routes.",2024,"JAN 1","OCEAN & COASTAL MANAGEMENT","247","","","WOS:001127813500001","10.1016/j.ocecoaman.2023.106936","","#9874","Qi 2024","Tyler McIntosh (2024-08-20 07:25:34)(Select): An interesting flow pathway that is clearly and explicitly described: climate change drives melting of Arctic ice, resulting in an increase in Arctic shipping, and, subsequently, a wide range of environmental impacts. This study is a review and the Arctic is a trans-N.Am-boundary region.; ","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"26","How to evaluate the effects of climate change on tourism","RossellÃ³-Nadal, J.","The aim of this study is to assess the most relevant quantitative approaches to evaluating the effects of climate change on tourism. In recent years, numerous empirical studies have conducted evaluations of this kind, based on different methodologies and perspectives. This review shows that the effects of climate change can first be assessed through changes in physical conditions essential to tourism; secondly, by using climate indexes to measure the attractiveness of tourist destinations; and, thirdly, by modelling tourism demand with the inclusion of climate determinants. The review suggests that, although some methodologies are in the early stages of development, different approaches result in a similar map of those areas mainly affected by the problem. (C) 2013 Elsevier Ltd. All rights reserved.",2014,"JUN","Tourism Management","42","","334-340","WOS:000333000100038","10.1016/j.tourman.2013.11.006","","#10418","RossellÃ³-Nadal 2014","Bernardo Bastien Olvera (2024-08-27 03:22:11)(Select): Agree with Tyler that it doesn't have subsequent effects on biodiversity. But it has the reversed link, which we are also looking for.  It points out the effects of climate change on biodiversity and therefore in tourism (see mention of coral reefs or algal blooms); Tyler McIntosh (2024-08-20 02:50:56)(Select): A nice review of climate impacts on tourism trends and patterns, which unfortunately doesn't include subsequent impacts on enviro/biod. Tagging as potentially useful given the lack of other reviews on climate change impacts on tourism.; ","Human movement; Potentially relevant; save for other sections",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27","A review of the IPCC Fifth Assessment and implications for tourism sector climate resilience and decarbonization","Scott, D.; Hall, C. M.; GÃ¶ssling, S.","The Fifth Assessment Report (AR5) of the Intergovernmental Panel on Climate Change (IPCC) in 2013-2014 was the most comprehensive analysis of anthropogenic climate change, its impacts, and potential responses. It concluded that climate change is unequivocal and human activities are the dominant cause. Avoidance of dangerous climate change will require sustained substantial reductions of emissions by mid-century and that net emissions decrease to zero before 2100. This paper describes, reviews and explains the place of tourism in AR5 and AR5's relevance for tourism's future, including impacts, adaptation, vulnerabilities, and mitigation. Tourism's position in AR5 has strengthened, particularly with respect to the recognition of transboundary impacts, the sector's contribution to climate change and its mitigation requirements. Major regional knowledge gaps persist. A lack of understanding of the integrated impacts of climate change and the effectiveness of adaptation strategies potentially hinders the development of resilient tourism operations and destinations. Uncertainties regarding tourist response to climate change impacts and mitigation policy impede predictions of tourism demand. The implications of different decarbonization pathways for the future of international tourism represent a key knowledge gap. The limited response of key tourism organizations to AR5 contributes to the risks climate change poses to the sector.",2016,"","Journal of Sustainable Tourism","24","1","8-30","WOS:000365762200002","10.1080/09669582.2015.1062021","","#10935","Scott 2016","Dayo Osinubi (2024-08-14 02:51:24)(Select): A review of tourism impacts in the Intergovernmental Panel on Climate Change (IPCC) Fifth Assessment Report (AR5) published in 2013 2014. The AR5 itself distils seven years of effort by more than 830 core authors and review editors from over 80 countries and a wide range of scientific, technical and socio-economic expertise. This review paper is relevant for the discussion of the flow of people, and international policy instruments guiding that movement of people.; ","Biotic; Human movement; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
