"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic"
"28","The Multi-Dimensional Emergence of Climate-Induced Migrants in Rights-Based Litigation in the Global South","Serraglio, D. A.; Cavedon-Capdeville, F. D.; Thornton, F.","The article evidences to what extent rights-based climate litigation is applied as a strategy to enhance the recognition and protection of climate-induced migrants. Adopting a deductive approach and desk review, the study, illustrates how climate-induced migration has been addressed by International Human Rights Law, with some attention also paid to the growing application of the right to a safe climate and climate justice. The study highlights the duties of both States and private actors in tackling the emerging climate crisis under the human rights agenda. Relevant responsibilities are framed in particular within the scope of rights-based litigation dealing with the topic. We present an analysis of litigation linked to climate-induced migration that was filed before distinct international, regional, and national jurisdictions and, in doing so, propose a chronology of cases-structured in three generations-of how population movements as a result of climate change have been discussed by judicial means. The first generation relates to cases that consider the issue from the perspective of protection-in both national, regional, and international jurisdictions. The second generation emerges within general climate litigation claims, involving commitments linked to the climate agenda. In addition to raising (forced) population movements as one of the expected impacts of climate change, such cases frequently call upon a rights-based approach. The third generation encompasses rights-based cases centred on climate-induced migrants per se. The strengths and limitations of rights-based litigation to respond to the topic are finally highlighted: we conclude that litigation remains a blunt but not unpromising tool to respond to climate-induced migration. Generic references to the risk of (forced) population movements largely prevail; nevertheless, strategic rights-based litigation can facilitate the visibility of climate-induced migrants to the international community, fostering the development of legal solutions in the longer term.",2024,"MAY 28","JOURNAL OF HUMAN RIGHTS PRACTICE","16","1","227-247","WOS:001143228900001","10.1093/jhuman/huad066","","#11007","Serraglio 2024","","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"29","Potential Drivers for the Re-Emergence of Canine Leptospirosis in the United States and Canada","Smith, A. M.; Stull, J. W.; Moore, G. E.","Canine leptospirosis is an important zoonotic disease in many countries. This review examines potential drivers for increased diagnoses of canine leptospirosis in the United States and Canada, using the epidemiologic triad of agent-environment-host as a template. Leptospira spp. are classified into more than 250 serovars, but in many laboratories only 6 are routinely tested for in serologic agglutination tests of canine sera. Leptospiral infections in dogs may potentially go undetected with unemployed or currently employed diagnostic methods. Disease transmission from infected reservoir hosts usually occurs via urine-contaminated environmental sources such as water. Direct contact between infected and susceptible individuals, environmental factors such as climate changes in temperature and/or rainfall, and increasing number and urbanization of reservoir hosts may greatly increase dog exposure risks. A dog's lifestyle may influence exposure risk to leptospirosis, but vaccination based on proper identification of circulating serogroups dramatically reduces post-exposure infections. Regrettably, resistance to vaccination by veterinarians and dog owners leaves a large number of dogs at risk for this zoonotic disease.",2022,"NOV","TROPICAL MEDICINE AND INFECTIOUS DISEASE","7","11","","WOS:000910809500001","10.3390/tropicalmed7110377","","#11401","Smith 2022","","Biotic; Human movement",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"30","Integration as Adaptation: Advancing Research and Practice for Inclusive Climate Receiving Communities","Teicher, H. M.; Marchman, P.","Problem, research strategy, and findingsDespite early focus on the Global South, it has become clear that the Global North will be transformed through climate-related internal relocation as well. In North America, highly visible disasters have already caused populations to relocate, but historically, larger scale migration has occurred in response to longer term climatic shifts. As relocation to destinations spanning small towns to metropolitan gateways accelerates, planning can play a central role in shaping how these places accommodate newcomers and prepare for longer term urban restructuring. To lay the groundwork for this emerging area of research and practice, we draw from adjacent areas of planning. We examine current research on immigrant integration and amenity migration, recent media coverage of climate destinations, research on shifts in physical livability, and the emerging body of work on receiving communities. Limitations to our study include a focus on recent research and confining the geographical scope to North America. Based on our review, we found that migration is only adaptation when newcomers are effectively integrated into receiving communities. This can occur through reconciling social inclusion with economic development, meeting the distinct needs of newcomers that may also exacerbate the needs of current residents, and pursuing long-term planning for deconcentration.Takeaway for practiceAs climate-related migration becomes part of adaptation practice, planners should focus on reconciling social inclusion and economic development and engaging newcomers and existing residents in participatory processes to develop physical and social resilience.",2024,"JAN 2","JOURNAL OF THE AMERICAN PLANNING ASSOCIATION","90","1","30-49","WOS:000982936900001","10.1080/01944363.2023.2188242","","#12023","Teicher 2024","Tyler McIntosh (2024-08-22 03:55:49)(Select): includes a nice section on land use planning in communities receiving climate migrants, considering it as enough of a biodiversity link; ","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"31","The Mittimatalik Siku Asijjipallianinga (Sea Ice Climate Atlas): How Inuit Knowledge, Earth Observations, and Sea Ice Charts Can Fill IPCC Climate Knowledge Gaps","Wilson, K.; Arreak, A.; Bell, T.; Ljubicic, G.; Sikumiut, Comm","The IPCC special report on the ocean and cryosphere in a changing climate (SROCC) highlights with high confidence that declining Arctic sea ice extents and increased ship-based transportation are impacting the livelihoods of Arctic Indigenous peoples. Current IPCC assessments cannot address the local scale impacts and adaptive needs of Arctic Indigenous communities based on the global, top-down model approaches used. Inuit maintain the longest unrecorded climate history of sea ice in Canada, and to support Inuit community needs, a decolonized, Inuit knowledge-based approach was co-developed in the community of Mittimatalik, Nunavut (Canada) to create the Mittimatalik siku asijjipallianinga (sea ice climate atlas) 1997-2019. This paper presents the novel approach used to develop the atlas based on Inuit knowledge, earth observations and Canadian Ice Service (CIS) sea ice charts, and demonstrates its application. The atlas provides an adaptation tool that Mittimatalik can use to share locations of known and changing sea ice conditions to plan for safe sea ice travel. These maps can also be used to support the safety and situational awareness of territorial and national search and rescue partners, often coming from outside the region and having limited knowledge of local sea ice conditions. The atlas demonstrates the scientific merit of Inuit knowledge in environmental assessments for negotiating a proposal to extend the shipping seasons for the nearby Mary River Mine. The timing and rates of sea ice freeze-up (October-December) in Mittimatalik are highly variable. There were no significant trends to indicate that sea ice is freezing up later to support increased shipping opportunities into the fall. The atlas shows that the first 2 weeks of November are critical for landfast ice formation, and icebreaking at this time would compromise the integrity of the sea ice for safe travel, wildlife migration and reproduction into the winter months. There was evidence that sea ice break-up (May-July) and the fracturing of the nearby floe edge have been occurring earlier in the last 10 years (2010-2019). Shipping earlier into the break-up season could accelerate the break-up of an already declining sea ice travel season, that Inuit are struggling to maintain.",2021,"OCT 26","Frontiers in Climate","3","","","WOS:001021792700001","10.3389/fclim.2021.715105","","#13200","Wilson 2021","Laura  Dee (2024-08-30 23:20:53)(Select): Not a mention of biodiversity per se, but does impact NCPs and indigenous communities/boundaries . mentions species too """"This exposes Indigenous coastal communities to a higher risk of accidents, pollution, noise, invasive species, and disruptions to subsistence hunting areas, wildlife reproduction, populations, and migration routes (Huntington et al., 2015; ICC-Alaska, 2015; Meredith et al., 2019)."""" ; ","Biophysical; Human movement; IK; save for other sections",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"32","An Overview of Canadian Research Activities on Diseases Caused by Phytophthora ramorum: Results, Progress, and Challenges","Shamoun, Simon Francis; Rioux, Danny; Callan, Brenda; James, Delano; Hamelin, Richard C.; Bilodeau, Guillaume J.; Elliott, Marianne; Levesque, C. Andre; Becker, Elisa; McKenney, Dan; Pedlar, John; Bailey, Karen; Briere, S. C. ; Niquidet, Kurt; Allen, Eric","International trade and travel are the driving forces behind the spread of invasive plant pathogens around the world, and human-mediated movement of plants and plant products is now generally accepted as the primary mode of their introduction, resulting in huge disturbance to ecosystems and severe socio-economic impact. These problems are exacerbated under the present conditions of rapid climatic change. We report an overview of the Canadian research activities on Phytophthora ramorum. Since the first discovery and subsequent eradication of P. ramorum on infected ornamentals in nurseries in Vancouver, British Columbia, in 2003, a research team of Canadian government scientists representing the Canadian Forest Service, Canadian Food Inspection Agency, and Agriculture and Agri-Food Canada worked together over a 10-year period and have significantly contributed to many aspects of research and risk assessment on this pathogen. The overall objectives of the Canadian research efforts were to gain a better understanding of the molecular diagnostics of P. ramorum, its biology, host-pathogen interactions, and management options. With this information, it was possible to develop pest risk assessments and evaluate the environmental and economic impact and future research needs and challenges relevant to P. ramorum and other emerging forest Phytophthora spp.",2018,"/","Plant disease.","102","7","1218-1233","","10.1094/PDIS-11-17-1730-FE","IND606140046","#14854","Shamoun 2018","Grace Westphal (2024-08-07 02:59:49)(Select): Overt mention of climate change impacts are limited, but a good comparison of how the US vs Canada has dealt with the same forest disease.; ","Biotic; Human movement; Intervention; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"33","Remediation technologies for oil-drilling activities in the Arctic: oil-spill containment and remediation in open water","Manzetti, Sergio","The Arctic Ocean is a large aquatic ecosystem stretching 14,056,000 km 2 across the Northern Hemisphere, and hosts a multitude of marine species, avian species, and the well-known polar bear in its domain. The Arctic Ocean is the most remote ocean in the world and has been inaccessible to traffic and oil-drilling activities until recent years. However, as transport, trade, and global turnover of petrol and oil products increase and climate changes reduce the glacial surface of the North Pole, the Arctic Ocean is becoming an area of interest for international shipping, offshore, and drilling activities. Nevertheless, this development requires ultimately a parallel implementation of environmental technologies for oil-drilling safety, with particular emphasis on oil-spill remediation in cold and harsh environments. In this context, this study reports on the most recent developments of open sea and coastline oil-remediation technologies for the prevention of damage to wildlife and the Arctic ecosystem as a whole. The review encompasses methods including microbial, chemical, and nanotechnological areas of oil-spill remediation, which are reported in context with the weather limitations of the Arctic wherever available. ",2014,"/","Environmental Technology reviews.","3","1","49-60","","10.1080/21622515.2014.966156","IND601227493","#15118","Manzetti 2014","","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"34","Migration and climate change","Andersen, L.; Lund, L.; Verner, D.; Verner, D.","This chapter first reviews existing migration and urbanization patterns in Latin America and the Caribbean, in general and in relation to climate change and variability. The second section introduces a typology of potential climate-related migration, which is then used as the basis for an analysis of social implications of climate change-induced migration using the sustainable livelihoods framework. The two estimations of climate change-induced migration are undertaken, one for internal migration within Bolivia and other for international migration between Mexico and the United States, to show how it is possible to quantify the amount migration that can be attributed to past, present, or future climate change.",2010,"","Directions in Development","","","195-220","","","","#16115","Andersen 2010","Rachel Wilwerding (2024-08-15 03:45:48)(Select): Book: https://books.google.com/books?hl=en&lr=&id=dyDOwiIP3AQC&oi=fnd&pg=PA195&dq=Migration+and+Climate+Change+&ots=9JNBQknouz&sig=A_JALfllZ-I1JnJGl32iFUJefxM#v=onepage&q&f=false;","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"35","Migration, environment and climate change: assessing the evidence","Laczko, F.; Aghazarm, C.; Laczko, F.; Aghazarm, C.","This book contains 8 chapters, including an introduction, which focus on seven key areas of research relating to the topic of migration, the environment and climate change, covering issues such as data challenges, research methods, sudden environmental and slow-on-set events, and policy responses. The focus is not limited to climate change as much of the research literature tends to focus on migration and the wider concept of environmental change. The book is mainly focused on the impact of environmental/climate change on migration given the current policy interest in this issue, but it is recognized that there is a considerable body of literature on the impact of migration and refugee movements, on the environment. It also offers a selective review of key research to date on the topic of migration, the environment and climate change within the aforementioned themes. It examines the existing evidence with respect to the ways in which changes in the environment and climate change are affecting the movement of people and the types of policy responses and protection gaps which potentially exist. Furthermore, it offers an overview of innovative approaches to measuring and collecting data on the migration and environment nexus.",2009,"","Migration, environment and climate change: assessing the evidence","","","","","","","#20148","Laczko 2009","Rachel Wilwerding (2024-08-15 06:29:49)(Select): link to text: https://seors.unfccc.int/applications/seors/attachments/get_attachment?code=TMF6FU96I0861QBQAFKT0G6U07DFGSAN;","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"36","Climate change, agricultural development, and migration","Martin, P.","This paper reviews the likely effects of climate change on agricultural development and the resulting implications for internal and international migration. The agricultural sector employed about 1.4 billion of the world's 3.4 billion workers in 2008. Even without climate change, coming years are likely to witness continuing large-scale migration out of the agricultural sector, particularly in developing countries where farm incomes are significantly lower than non-farm incomes. Climate change, specifically global warming, is likely to accelerate this pace of migration. Several economic models project that global warming will have more effects on the distribution of farm production than global farm output, with new areas becoming viable for farming as a result of higher temperatures. However, far more people are likely to be displaced by global warming than those likely to find jobs in these new farming areas. Existing policy addressing the challenges already faced by agricultural workers as they seek alternative economic opportunities is limited. The likely impact of climate change on the agricultural sector, more displacement, underscores the urgent need for policymakers and the international community to commit greater attention and resources towards developing a package of innovative policies to provide workers with alternative opportunities within the agricultural sector or to ease their out-migration from the sector.",2010,"","Climate Change and Migration Series","","","7-pp","","","","#20850","Martin 2010","Tyler McIntosh (2024-08-22 03:46:01)(Select): Focused on international agricultural migration patterns, including mentions of migrants as essential to agricultural production in destination countries. Mentions that this flow is likely key to agricultural expansion in some of these destinations.; ","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"37","Leptospirosis - current risk factors connected with human activity and the environment","Wasinski, B.; Dutkiewicz, J.","Leptospirosis is a widespread although recently neglected zoonosis recognized worldwide. The disease seems to be underestimated, especially in countries located in the temperate climatic zone. The presented article concerns the main characteristics of leptospirosis and describes formerly known and recently observed environmental, occupational and recreational risk factors significant in the spreading and pathogenesis of the disease. The aspects of epidemiology significant in the temperate climatic zone are emphasized. The majority of cited articles present cases of the disease reported from Europe or North America. Climatic changes (warming) and extreme weather events such as floods are potential risk factors of leptospirosis. Also, some socio-economic phenomena, such as the intensive migration of people resulting in the transfer of the infections acquired in tropical countries, or worsening of economic status in the cities, increase the probability of disease. Apart from the danger connected with rodents, which are the main vectors of leptospires, occurrence of the disease in dogs and cats can generate a higher risk of infection for humans. Infections may also be acquired during various types of agricultural work and during recreational activities, such as swimming. The results of recent investigations show that ticks are also potential vectors of leptospires. The more frequent emergence of leptospirosis in countries located in the temperate climatic zone emphasize the need to verify knowledge related to the risk of its appearance, and to consider this disease during diagnostic processes.",2013,"","Annals of Agricultural and Environmental Medicine","20","2","239-244","","","","#24345","Wasinski 2013","","Biotic; Human movement; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"38","Water stress and human migration: a global, georeferenced review of empirical research","Wrathall, D. J.; Hoek, J. van den; Walters, A.; Devenish, A.","This report assesses and maps 184 peer-reviewed, empirical research articles selected for their focus on linkages between water stress and human migration. First and most importantly, this literature asserts that migration is universal. Migration is an extremely common social process and is normal in almost every society on earth. Moreover, migration is not a pathological response to environmental change. Environment-influenced migration is rarely (if ever) a resource threat to the regions to which people move. The literature does, however, observe that negative social outcomes can result from narratives that stigmatize migrants and/or cast migrants as a security threat - especially when these narratives are used to justify increased surveillance and monitoring of these people. A number of the reviewed articles argue for the adoption of proactive policies and programmes that seek to reduce migration. Typically, these articles identify a case for investment in sustainable agriculture and rural livelihood diversification. In water-stressed areas, experience suggests that such policies and programmes can both slow rural-urban migration and reduce the incentive for people to attempt to move across international borders out of desperation rather than out of choice. The literature reveals a strong consensus that increased water stress can cause people to decide to migrate. There also appears to be a consensus that increasing mean temperatures are correlated with, and are thought to be a cause of, increased water stress. As temperatures rise, water stress may result from less water, increases in evaporation, and increases in agricultural water demand. But the link between temperature and water stress is not unique to drought. Recent papers demonstrate that a combination of higher temperatures and rainfall extremes are correlated with increases in migration rates away from areas where these changes can be observed. This being said, the causal interaction of temperature, water stress and migration is still not clearly understood. More systematic studies are needed. In an effort to determine where further empirical research may be justified, we initially map the distribution of reviewed articles at the sub-basin level and then compare these data with expected future changes in surface temperature and precipitation. Examination of these maps suggests that linkages between water stress and migration are understudied in India, Central Asia, the Middle East, and the Central Sahel. As data transparency is low and/or insecurity makes field data collection difficult in some of these areas, the use of novel data-gathering techniques, such as crowd-sourcing, passive data collection from digital devices and remotely sensed data, is suggested as a way to speed progress.",2018,"","FAO Land and Water Discussion Paper","","11","ix-pp","","","","#24568","Wrathall 2018","","Biophysical; Human movement",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"39","An III Wind? Climate Change, Migration, and Health","McMichael, Celia; Barnett, Jon; McMichael, Anthony J","Â Climate change is projected to cause substantial increases in population movement in coming decades. Previous research has considered the likely causal influences and magnitude of such movements and the risks to national and international security. There has been little research on the consequences of climate-related migration and the health of people who move.In this review, we explore the role that health impacts of climate change may play in population movements and then examine the health implications of three types of movements likely to be induced by climate change: forcible displacement by climate impacts, resettlement schemes, and migration as an adaptive response.This risk assessment draws on research into the health of refugees, migrants, and people in resettlement schemes as analogs of the likely health consequences of climate-related migration. Some account is taken of the possible modulation of those health risks by climate change.Climate-change-related migration is likely to result in adverse health outcomes, both for displaced and for host populations, particularly in situations of forced migration. However, where migration and other mobility are used as adaptive strategies, health risks are likely to be minimized, and in some cases there will be health gains.Purposeful and timely policy interventions can facilitate the mobility of people, enhance well-being, and maximize social and economic development in both places of origin and places of destination. Nevertheless, the anticipated occurrence of substantial relocation of groups and communities will underscore the fundamental seriousness of human-induced climate change.",2012,"05-01","Environmental Health Perspectives","120","5","646","","","","#26304","McMichael 2012","Tyler McIntosh (2024-08-14 12:45:43)(Select): Global review of climate change impacts on human migration and subsequent health outcomes of migrating populations. Direct relationship to biodiversity comes in the conclusion when it includes mention of migrants as a moving pool of potential pathogens. Agree w/ Kyle that there is not much specific to N.America, but global so including; Tyler McIntosh (2024-08-14 12:45:35)(Select): Global review of climate change impacts on human migration and subsequent health outcomes of migrating populations. Direct relationship to biodiversity comes in the conclusion when it includes mention of migrants as a moving pool of potential pathogens. Agree w/ Kyle that there is not much specific to N.America, but global so including; Kyle Manley (2024-08-13 07:11:54)(Select): overview of the different types of climate change driven migration and their impacts on the health of migrants, while this article alludes to the US and Mexico border a few times, this article is more general and in my opinion does not offer much specific information on these impacts in North America; ","Human movement; Potentially relevant; save for other sections",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40","Migrants in a globalized world - health threats, risks and challenges: an evidence-basecl framework","Gushulak, B; Weekers, J; MacPherson, D","International population mobility is an underlying factor in the emergence of public health threats and risks that must be managed globally. These risks are often related but not limited to transmissible pathogens. Mobile populations can link zones of disease emergence to low-prevalence or non-endemic areas through rapid or high-volume international movements, or both. Against this background of human movement, other global processes such as economics, trade, transportation, environment and climate change, and civil security influence the health impacts of disease emergence. Concurrently, global information systems, together with regulatory frameworks for disease surveillance and reporting, affect organizational and public awareness of events of potential public health significance. International regulations directed at disease mitigation and control have not kept pace with the growing challenges associated with the volume, speed, diversity, and disparity of modern patterns of human movement. The thesis that human population mobility is itself a major determinant of global public health is supported in this article by review of the published literature from the perspective of determinants of health (genetics/biology, behaviour, environment, and socio-economics); population-based disease prevalence differences, existing national and international health policies and regulations, and inter-regional shifts in population demographics and health outcomes. The paper highlights some of the emerging threats and risks to public health, identifies gaps in existing frameworks to manage health issues associated with migration and suggests changes in approach to population mobility, globalization, and public health. The proposed integrated approach includes a broad spectrum of stakeholders from individual health care providers to policy makers and international organizations that are primarily involved in global health management, or are influenced by global health events.",2009,"01-01","Emerging Health Threats Journal","2","","e10-e10","","https://doi.org/10.3134/ehtj.09.010","","#28598","Gushulak 2009","","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"41","Migrants and emerging public health issues in a globalized world: threats, risks and challenges, an evidence-based framework.","Gushulak, Bd; Weekers, J; Macpherson, Dw","International population mobility is an underlying factor in the emergence of public health threats and risks that must be managed globally. These risks are often related, but not limited, to transmissible pathogens. Mobile populations can link zones of disease emergence to lowprevalence or nonendemic areas through rapid or high-volume international movements, or both. Against this background of human movement, other global processes such as economics, trade, transportation, environment and climate change, as well as civil security influence the health impacts of disease emergence. Concurrently, global information systems, together with regulatory frameworks for disease surveillance and reporting, affect organizational and public awareness of events of potential public health significance. International regulations directed at disease mitigation and control have not kept pace with the growing challenges associated with the volume, speed, diversity, and disparity of modern patterns of human movement. The thesis that human population mobility is itself a major determinant of global public health is supported in this article by review of the published literature from the perspective of determinants of health (such as genetics/biology, behavior, environment, and socioeconomics), population-based disease prevalence differences, existing national and international health policies and regulations, as well as inter-regional shifts in population demographics and health outcomes. This paper highlights some of the emerging threats and risks to public health, identifies gaps in existing frameworks to manage health issues associated with migration, and suggests changes in approach to population mobility, globalization, and public health. The proposed integrated approach includes a broad spectrum of stakeholders ranging from individual health-care providers to policy makers and international organizations that are primarily involved in global health management, or are influenced by global health events.",2009,"01-01","Emerging health threats journal","2","","e10-e10","","https://doi.org/10.3134/ehtj.09.010","","#28951","Gushulak 2009","","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
