"","impact","ID_DOI_by_Flow","X2.1.Flow.Type","X2.2.Subtype","DOI","direction","impact.group"
"382","Loss",79,"Biotic","disease spread","10.1111/j.1439-0329.2010.00656.x","Complex change","bad"
"383","Loss",79,"Biotic","range-shift","10.1111/j.1439-0329.2010.00656.x","Complex change","bad"
"384","Loss",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Complex change","bad"
"385","Loss",82,"Biotic","disease spread","10.3390/insects12030225","Complex change","bad"
"386","Loss",85,"Biotic","migration","10.3389/fevo.2019.00099","No change (measured)","bad"
"387","Loss",88,"Biotic","range-shift","https://doi.org/10.1111/eva.13223","Increase","bad"
"388","Loss",88,"Biotic","gene flow","https://doi.org/10.1111/eva.13223","Increase","bad"
"389","Loss",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Decrease","bad"
"390","Loss",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","No change (measured)","bad"
"391","Loss",103,"Biotic","range-shift","DOI: 10.1111/fwb.13570","Complex change","bad"
"392","Loss",117,"Biotic","range-shift","10.5751/ES-11988-250443","Complex change","bad"
"393","Loss",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Increase","bad"
"394","Loss",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Increase","bad"
"395","Loss",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Increase","bad"
"396","Loss",137,"Sociocultural","knowledge transfer","https://doi.org/10.1139/er-2022-0130","Increase","bad"
"397","Loss",141,"Biotic","range-shift","10.1111/gcb.14957","Decrease","bad"
"398","Loss",150,"Biotic","migration","10.1017/S0959270908000439","Increase","bad"
"399","Loss",152,"Biotic","migration","10.1111/faf.12536","Complex change","bad"
"400","Loss",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","Increase","bad"
"401","Loss",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Increase","bad"
"402","Loss",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Increase","bad"
"403","Loss",173,"Biotic","range-shift","10.7717/peerj.11","Increase","bad"
"404","Loss",175,"Biotic","range-shift","10.1126/science.aai9214","Increase","bad"
"405","Loss",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Increase","bad"
"406","Loss",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Increase","bad"
"407","Loss",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Increase","bad"
"408","Loss",205,"Physical","pollution flow","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Increase","bad"
"409","Loss",211,"Physical","ocean current","10.1007/BF02691304","Decrease","bad"
"410","Loss",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Complex change","bad"
"411","Loss",233,"Sociocultural","knowledge transfer","DOI: 10.1111/fwb.13570","Complex change","bad"
"412","Loss",76,"Sociocultural","governance","10.1111/gcb.16109","Decrease","bad"
"413","Loss",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Decrease","bad"
"414","Management",6,"Biotic","biome-shift","10.1002/ppp3.10500","Complex change","good"
"415","Management",8,"Physical","sea ice retreat","10.1139/Z11-021","Complex change","good"
"416","Management",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Increase","good"
"417","Management",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Complex change","good"
"418","Management",24,"Biotic","migration","10.1890/09-0395.1","Complex change","good"
"419","Management",36,"Sociocultural","governance","https://doi.org/10.4236/jwarp.2018.1011065","Decrease","good"
"420","Management",40,"Biotic","range-shift","10.1111/gcb.16111","Complex change","good"
"421","Management",41,"Sociocultural","governance","10.5751/ES-11835-250442","Complex change","good"
"422","Management",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Complex change","good"
"423","Management",46,"Sociocultural","governance","10.5751/ES-08879-220131","Increase","good"
"424","Management",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"425","Management",57,"Biotic","migration","https://doi.org/10.1080/23308249.2024.2341023","Increase","good"
"426","Management",62,"Sociocultural","knowledge transfer","10.3390/jmse8100739","Increase","good"
"427","Management",67,"Sociocultural","governance","10.1080/08920759109362128	","Complex change","good"
"428","Management",70,"Biotic","disease spread","10.5424/fs/2012212-02230	","Complex change","good"
"429","Management",84,"Biotic","range-shift","10.3133/ofr20201125","Increase","good"
"430","Management",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"431","Management",104,"Sociocultural","governance","10.1016/j.ecolecon.2022.107356","Complex change","good"
"432","Management",118,"Sociocultural","governance","10.21829/myb.2014.200146","Increase","good"
"433","Management",120,"Sociocultural","governance","10.15779/Z38M61BQ0J","No change (measured)","good"
"434","Management",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Increase","good"
"435","Management",141,"Biotic","range-shift","10.1111/gcb.14957","Complex change","good"
"436","Management",150,"Biotic","migration","10.1017/S0959270908000439","Complex change","good"
"437","Management",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","No change (measured)","good"
"438","Management",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Complex change","good"
"439","Management",175,"Biotic","range-shift","10.1126/science.aai9214","Complex change","good"
"440","Management",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Increase","good"
"441","Management",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Complex change","good"
"442","Management",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Increase","good"
"443","Management",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Complex change","good"
"444","Management",76,"Sociocultural","governance","10.1111/gcb.16109","Increase","good"
"445","Management",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Increase","good"
"446","Other",7,"Physical","surface water quantity","doi: 10.1111/brv.12914","Decrease","neutral"
"447","Other",8,"Physical","sea ice retreat","10.1139/Z11-021","Increase","neutral"
"448","Other",15,"Human movement","migration","https://openknowledge.fao.org/server/api/core/bitstreams/24eba882-35e4-4e04-a793-eaab4cd6259c/content","Increase","neutral"
"449","Other",16,"Human movement","migration","10.1289/ehp.1104375","Increase","neutral"
"450","Other",28,"Human movement","tourism","10.24917/20801653.322.20	","Complex change","neutral"
"451","Other",39,"Biotic","range-shift","10.1007/s10531-013-0525-1	","Increase","neutral"
"452","Other",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","neutral"
"453","Other",92,"Biotic","disease spread","https://www.fs.usda.gov/pnw/pubs/pnw_gtr966_chapter2.pdf","Decrease","neutral"
"454","Other",94,"Physical","surface water quantity","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Complex change","neutral"
"455","Other",106,"Biotic","range-shift","https://doi.org/10.1038/ s43017-020-0071-9","Decrease","neutral"
"456","Other",110,"Biotic","range-shift","https://doi.org/10.1016/j.amepre.2008.08.024","Increase","neutral"
"457","Other",112,"Physical","pollution flow","https://doi.org/10.1007/s44169-022-00016-8","Increase","neutral"
"458","Other",113,"Physical","pollution flow","https://doi.org/10.1007/s10533-023-01108-w","Increase","neutral"
"459","Other",116,"Physical","surface water quantity","https://doi.org/10.1007/s10584-021-03057-5","Decrease","neutral"
"460","Other",144,"Biotic","migration","10.1007/s11160-014-9348-8","Complex change","neutral"
"461","Other",153,"Biotic","disease spread","https://doi.org/10.1016/j.foreco.2018.03.011","Complex change","neutral"
"462","Other",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","No change (measured)","neutral"
"463","Other",184,"Physical","pollution flow","10.3390/w6102862","Increase","neutral"
"464","Other",194,"Physical","nutrient and sediment flow","https://doi.org/10.4236/jwarp.2018.1011065","Increase","neutral"
"465","Other",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Increase","neutral"
"466","Other",199,"Biotic","range-shift","https://doi.org/10.1177/1178622120950272","Complex change","neutral"
"467","Other",205,"Physical","pollution flow","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Increase","neutral"
"468","Other",219,"Physical","nutrient and sediment flow","10.1002/hyp.7162","Decrease","neutral"
"469","Other",220,"Human movement","trade","https://doi.org/10.4236/jwarp.2018.1011065","Increase","neutral"
"470","Other",222,"Biotic","biome-shift","https://doi.org/10.1177/1178622120950272","Increase","neutral"
"471","Other",21,"Physical","groundwater","http://dx.doi.org/10.1016/j.jglr.2021.10.011	","Increase","neutral"
"472","Richness",7,"Physical","surface water quantity","doi: 10.1111/brv.12914","Complex change","good"
"473","Richness",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Decrease","good"
"474","Richness",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Complex change","good"
"475","Richness",14,"Biotic","migration","10.1525/cond.2009.080096","Complex change","good"
"476","Richness",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Decrease","good"
"477","Richness",22,"Biotic","biome-shift","10.1111/gcb.16770","Complex change","good"
"478","Richness",24,"Biotic","migration","10.1890/09-0395.1","Complex change","good"
"479","Richness",40,"Biotic","range-shift","10.1111/gcb.16111","Complex change","good"
"480","Richness",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Decrease","good"
"481","Richness",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Complex change","good"
"482","Richness",52,"Biotic","range-shift","10.1111/jbi.13465","Complex change","good"
"483","Richness",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Decrease","good"
"484","Richness",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Increase","good"
"485","Richness",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Complex change","good"
"486","Richness",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Increase","good"
"487","Richness",68,"Physical","surface water quantity","10.1139/er-2022-0114	","Increase","good"
"488","Richness",75,"Biotic","range-shift","10.1016/j.jembe.2011.02.020	","No change (measured)","good"
"489","Richness",77,"Biotic","disease spread","10.1641/B581007	","Complex change","good"
"490","Richness",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Complex change","good"
"491","Richness",84,"Biotic","range-shift","10.3133/ofr20201125","Decrease","good"
"492","Richness",85,"Biotic","migration","10.3389/fevo.2019.00099","No change (measured)","good"
"493","Richness",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Decrease","good"
"494","Richness",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"495","Richness",106,"Biotic","range-shift","https://doi.org/10.1038/ s43017-020-0071-9","Decrease","good"
"496","Richness",117,"Biotic","range-shift","10.5751/ES-11988-250443","Complex change","good"
"497","Richness",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Complex change","good"
"498","Richness",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Decrease","good"
"499","Richness",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Increase","good"
"500","Richness",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Complex change","good"
"501","Richness",141,"Biotic","range-shift","10.1111/gcb.14957","Complex change","good"
"502","Richness",152,"Biotic","migration","10.1111/faf.12536","Complex change","good"
"503","Richness",155,"Biotic","range-shift","10.1111/fwb.13873","Increase","good"
"504","Richness",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","Decrease","good"
"505","Richness",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Complex change","good"
"506","Richness",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Complex change","good"
"507","Richness",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Complex change","good"
"508","Richness",173,"Biotic","range-shift","10.7717/peerj.11","Complex change","good"
"509","Richness",175,"Biotic","range-shift","10.1126/science.aai9214","Complex change","good"
"510","Richness",180,"Biotic","range-shift","http://dx.doi.org/10.1079/9781780641645.0305","Decrease","good"
"511","Richness",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Complex change","good"
"512","Richness",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Complex change","good"
"513","Richness",195,"Biotic","migration","10.3133/ofr20201125","Decrease","good"
"514","Richness",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"515","Richness",205,"Physical","pollution flow","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Complex change","good"
"516","Richness",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Complex change","good"
"517","Richness",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Complex change","good"
"518","Trophic",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Complex change","neutral"
"519","Trophic",6,"Biotic","biome-shift","10.1002/ppp3.10500","Complex change","neutral"
"520","Trophic",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Increase","neutral"
"521","Trophic",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Increase","neutral"
"522","Trophic",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Increase","neutral"
"523","Trophic",33,"Biotic","range-shift","10.1007/s00300-023-03133-9","Complex change","neutral"
"524","Trophic",35,"Biotic","disease spread","10.1093/aesa/saad038","Complex change","neutral"
"525","Trophic",40,"Biotic","range-shift","10.1111/gcb.16111","Complex change","neutral"
"526","Trophic",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","neutral"
"527","Trophic",58,"Biotic","range-shift","dx.doi.org/10.1139/cjz-2019-0207","Increase","neutral"
"528","Trophic",68,"Physical","surface water quantity","10.1139/er-2022-0114	","Increase","neutral"
"529","Trophic",72,"Biotic","range-shift","https://doi.org/10.1111/j.1523-1739.2008.00950.x","Complex change","neutral"
"530","Trophic",74,"Biotic","disease spread","10.1017/S0031182021001426	","Complex change","neutral"
"531","Trophic",75,"Biotic","range-shift","10.1016/j.jembe.2011.02.020	","No change (measured)","neutral"
"532","Trophic",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","neutral"
"533","Trophic",105,"Physical","wind","https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian","Complex change","neutral"
"534","Trophic",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Increase","neutral"
"535","Trophic",133,"Biotic","range-shift","10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2","Complex change","neutral"
"536","Trophic",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Complex change","neutral"
"537","Trophic",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Complex change","neutral"
"538","Trophic",141,"Biotic","range-shift","10.1111/gcb.14957","Complex change","neutral"
"539","Trophic",144,"Biotic","migration","10.1007/s11160-014-9348-8","Complex change","neutral"
"540","Trophic",155,"Biotic","range-shift","10.1111/fwb.13873","Complex change","neutral"
"541","Trophic",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","No change (measured)","neutral"
"542","Trophic",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Complex change","neutral"
"543","Trophic",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Complex change","neutral"
"544","Trophic",164,"Biotic","disease spread","https://doi.org/10.3390/ijerph15030478","Increase","neutral"
"545","Trophic",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Increase","neutral"
"546","Trophic",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Complex change","neutral"
"547","Trophic",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","Complex change","neutral"
"548","Trophic",173,"Biotic","range-shift","10.7717/peerj.11","Complex change","neutral"
"549","Trophic",175,"Biotic","range-shift","10.1126/science.aai9214","Complex change","neutral"
"550","Trophic",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Increase","neutral"
"551","Trophic",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Complex change","neutral"
"552","Trophic",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Complex change","neutral"
"553","Trophic",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Complex change","neutral"
"554","Trophic",190,"Physical","surface water quantity","10.1007/s10584-015-1355-9	","Increase","neutral"
"555","Trophic",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Increase","neutral"
"556","Trophic",205,"Physical","pollution flow","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Increase","neutral"
"557","Trophic",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Complex change","neutral"
"558","Trophic",76,"Sociocultural","governance","10.1111/gcb.16109","Decrease","neutral"
"559","Trophic",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Decrease","neutral"
"560","Trophic",134,"Physical","surface water quantity","https://doi.org/10.1002/ieam.1360","No change (measured)","neutral"
"561","Trophic",135,"Physical","groundwater","https://doi.org/10.1002/ieam.1360","No change (measured)","neutral"
"562","Urbanization",10,"Biotic","migration","10.1016/j.rama.2023.07.002","No change (measured)","bad"
"563","Urbanization",16,"Human movement","migration","10.1289/ehp.1104375","Increase","bad"
"564","Urbanization",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Increase","bad"
"565","Urbanization",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Increase","bad"
"566","Urbanization",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","bad"
"567","Urbanization",85,"Biotic","migration","10.3389/fevo.2019.00099","Decrease","bad"
"568","Urbanization",150,"Biotic","migration","10.1017/S0959270908000439","Increase","bad"
"569","Urbanization",173,"Biotic","range-shift","10.7717/peerj.11","Increase","bad"
"570","Urbanization",182,"Human movement","migration","https://doi.org/10.1038/s44168-024-00133-1	","Complex change","bad"
"571","Urbanization",189,"Human movement","displacement","10.1289/ehp.1104375","Increase","bad"
"572","Urbanization",195,"Biotic","migration","10.3133/ofr20201125","Increase","bad"
"573","Urbanization",217,"Human movement","relocation","10.1289/ehp.1104375","Increase","bad"
